position,texte,rien
1476,chirac,chirac
1477,fait,faire
1478,partie,partir
1479,du,du
1480,choeur,chœur
1481,des,du
1482,pleureuses,pleureur|pleureuse
1483,mais,mais
1484,n,n
1485,empêche,empêcher
1486,que,que
1487,j,j
1488,aperçois,apercevoir
1489,une,un
1490,contradiction,contradiction
1491,entre,entre
1492,votre,votre
1493,apparente,apparent
1494,tranquillité,tranquillité
1495,d,d
1496,il,il
1497,y,y
1498,a,avoir
1499,un,un
1500,moment,moment
1501,sur,sur
1502,l,l
1503,avenir,avenir
1504,de,de
1505,votre,votre
1506,majorité,majorité
1507,pour,pour
1508,peu,peu
1509,que,que
1510,vous,vous
1511,soyez,être
1512,élu,élire
1513,et,et
1514,des,du
1515,déclarations,déclaration
1516,qui,qui
1517,montrent,montrer
1518,que,que
1519,si,si
1520,vous,vous
1521,êtes,être
1522,élu,élire
1523,vous,vous
1524,n,n
1525,avez,avoir
1526,pas,pas
1527,de,de
1528,majorité,majorité
1529,|,|
1530,françois,françois
1531,mitterrand,mitterrand
1532,vous,vous
1533,n,n
1534,avez,avoir
1535,pas,pas
1536,répondu,répondre
1537,à,à
1538,la,le
1539,question,question
1540,de,de
1541,giscard,giscard
1542,d,d
1543,estaing,estaing
1544,.,.
1545,.,.
1546,.,.
1547,Mais,mais
1548,bien,bien
1549,entendu,entendre
1550,j,j
1551,ai,avoir
1552,aussi,aussi
1553,une,un
1554,réponse,réponse
1555,à,à
1556,apporter,apporter
1557,.,.
1558,Je,je
1559,constituerai,constituer
1560,un,un
1561,gouvernement,gouvernement
1562,comme,comme
1563,je,je
1564,le,le
1565,dois,devoir
1566,après,après
1567,mon,mon
1568,élection,élection
1569,quand,quand
1570,le,le
1571,moment,moment
1572,sera,être
1573,venu,venir
1574,d,d
1575,assumer,assumer
1576,mes,mon
1577,responsabilités,responsabilité
1578,.,.
1579,Ce,ce
1580,gouvernement,gouvernement
1581,sera,être
1582,composé,composer
1583,des,du
1584,personnes,personne
1585,femmes,femme
1586,et,et
1587,hommes,homme
1588,que,que
1589,j,j
1590,aurai,avoir
1591,choisis,choisir
1592,ou,ou
1593,dont,dont
1594,je,je
1595,discuterai,discuter
1596,avec,avec
1597,le,le
1598,premier,premier
1599,ministre,ministre
1600,que,que
1601,j,j
1602,aurai,avoir
1603,choisi,choisir
1604,.,.
1605,Ces,ce
1606,personnes,personne
1607,seront,être
1608,celles,celui
1609,qui,qui
1610,auront,avoir
1611,approuvé,approuver
1612,mes,mon
1613,options,option
1614,pendant,pendant
1615,la,le
1616,campagne,campagne
1617,présidentielle,présidentiel
1618,campagne,campagne
1619,électorale,électoral
1620,.,.
1621,Je,je
1622,ne,ne
1623,serai,être
1624,pas,pas
1625,en,en
1626,état,état
1627,de,de
1628,débattre,débattre
1629,ou,ou
1630,de,de
1631,discuter,discuter
1632,pour,pour
1633,la,le
1634,raison,raison
1635,que,que
1636,la,le
1637,campagne,campagne
1638,présidentielle,présidentiel
1639,m,m
1640,absorbe,absorber
1641,qu,qu
1642,elle,elle
1643,requiert,requérir
1644,entièrement,entièrement
1645,mon,mon
1646,attention,attention
1647,que,que
1648,c,c
1649,est,être
1650,à,à
1651,elle,elle
1652,que,que
1653,je,je
1654,dois,devoir
1655,me,me
1656,consacrer,consacrer
1657,qu,qu
1658,elle,elle
1659,est,être
1660,d,d
1661,une,un
1662,nature,nature
1663,particulière,particulier
1664,que,que
1665,ce,ce
1666,n,n
1667,est,être
1668,pas,pas
1669,l,l
1670,affaire,affaire
1671,du,du
1672,parti,parti
1673,ps,ps
1674,et,et
1675,je,je
1676,constituerai,constituer
1677,ce,ce
1678,gouvernement,gouvernement
1679,après,après
1680,la,le
1681,désignation,désignation
1682,du,du
