position,texte
1526,trouve
1527,qu
1528,il
1529,n
1530,y
1531,a
1532,pas
1533,assez
1534,de
1535,policiers
1536,.
1537,C
1538,est
1539,dommage
1540,que
1541,le
1542,groupe
1543,socialiste
1544,n
1545,ait
1546,pas
1547,voté
1548,les
1549,créations
1550,d
1551,emplois
1552,de
1553,policiers
1554,ces
1555,dernières
1556,années
1557,.
1558,.
1559,.
1560,Permettez
1561,que
1562,je
1563,vous
1564,interrompe
1565,Le
1566,commissariat
1567,de
1568,Clichy
1569,que
1570,vous
1571,avez
1572,promis
1573,il
1574,n
1575,est
1576,pas
1577,ouvert
1578,.
1579,Expliquez-moi
1580,pourquoi
1581,le
1582,groupe
1583,socialiste
1584,n
1585,a
1586,pas
1587,voté
1588,les
1589,créations
1590,de
1591,la
1592,loi
1593,de
1594,programmation
1595,de
1596,Car
1597,ce
1598,n
1599,était
1600,pas
1601,suffisant
1602,et
1603,qu
1604,il
1605,n
1606,y
1607,avait
1608,pas
1609,assez
1610,d
1611,équilibre
1612,avec
1613,la
1614,justice
1615,qui
1616,elle
1617,aussi
1618,est
1619,en
1620,situation
1621,de
1622,diminution
1623,d
1624,effectif
1625,.
1626,Voulez-vous
1627,aussi
1628,dire
1629,que
1630,vous
1631,allez
1632,supprimer
1633,des
1634,poste
1635,de
1636,magistrats
1637,alors
1638,qu
1639,il
1640,n
1641,y
1642,a
1643,aucune
1644,réponse
1645,pour
1646,les
1647,jeunes
1648,délinquants
1649,.
1650,.
1651,.
1652,Mme
1653,Royal
1654,dit
1655,qu
1656,elle
1657,va
1658,transférer
1659,aux
1660,régions
1661,ce
1662,qui
1663,leur
1664,permettra
1665,de
1666,faire
1667,une
1668,autre
1669,augmentation
1670,après
1671,les
1672,autres
1673,augmentations
1674,faramineuses
1675,que
1676,vous
1677,avez
1678,faites
1679,les
1680,années
1681,passées
1682,.
1683,Pour
1684,les
1685,créations
1686,de
1687,postes
1688,de
1689,policiers
1690,nous
1691,en
1692,avons
1693,créé
1694,des
1695,milliers
1696,.
1697,Le
1698,groupe
1699,socialiste
1700,ne
1701,les
1702,a
1703,pas
1704,votées
1705,mais
1706,passons
1707,ce
1708,n
1709,est
1710,pas
1711,le
1712,plus
1713,important
1714,.
1715,Parfaitement
1716,Il
1717,y
1718,aura
1719,une
1720,fonction
1721,publique
1722,au
1723,service
1724,des
1725,Français
1726,et
1727,une
1728,autre
1729,fonction
1730,publique
1731,au
1732,service
1733,des
1734,fonctionnaires
1735,qui
1736,rentrent
1737,chez
1738,eux
1739,.
1740,Cela
1741,ne
1742,m
1743,amuse
1744,pas
1745,mais
1746,avez-vous
1747,une
1748,autre
1749,solution
1750,La
1751,solution
1752,ce
1753,n
1754,est
1755,pas
1756,cela
1757,.
1758,C
1759,est
1760,de
1761,réprimer
1762,les
1763,délinquants
1764,pour
1765,qu
1766,il
1767,n
1768,y
1769,en
1770,est
1771,plus
1772,ou
1773,moins
1774,.
1775,Je
1776,propose
1777,d
1778,abord
1779,qu
1780,il
1781,n
1782,y
1783,ait
1784,plus
1785,un
1786,seul
1787,délinquant
1788,sexuel
1789,et
1790,vous
1791,savez
1792,parfaitement
1793,madame
1794,.
1795,.
1796,.
1797,C
1798,est
1799,zéro
1800,délinquant
1801,vous
1802,l
1803,avez
1804,dit
1805,en
1806,.
1807,Cela
1808,ne
1809,vous
1810,amène
1811,à
1812,rien
1813,de
1814,dire
1815,cela
1816,.
1817,.
1818,.
1819,Tolérance
1820,zéro
1821,vous
1822,l
1823,avez
1824,dit
1825,.
1826,.
1827,.
1828,Souhaitez-vous
1829,que
1830,je
1831,finisse
1832,une
1833,phrase
1834,Veillez
1835,les
1836,uns
1837,et
1838,les
1839,autres
1840,à
1841,ne
1842,pas
1843,prendre
1844,trop
1845,de
1846,temps
1847,d
1848,avance
1849,.
1850,Sur
1851,l
1852,hôpital
1853,public
1854,qui
1855,est
1856,une
1857,question
1858,cruciale
1859,essentielle
1860,puisque
1861,c
1862,est
1863,aussi
1864,sur
1865,le
1866,maintien
1867,des
1868,petits
1869,hôpitaux
1870,la
1871,présence
1872,de
1873,santé
1874,sur
1875,l
1876,ensemble
1877,du
1878,territoire
1879,national
1880,.
1881,Comme
1882,vous
1883,venez
1884,de
1885,le
1886,dire
1887,très
1888,justement
1889,en
1890,effet
1891,les
1892,heures
1893,dont
1894,d
1895,ailleurs
1896,les
1897,infirmières
1898,et
1899,les
1900,aides
1901,soignantes
1902,et
1903,tous
1904,les
1905,personnels
1906,hospitaliers
1907,se
1908,réjouissent
1909,parce
1910,qu
1911,ils
1912,travaillent
1913,de
1914,nuit
1915,.
1916,D
1917,ailleurs
1918,lorsque
1919,vous
1920,leur
1921,aviez
1922,proposé
1923,de
1924,travailler
1925,plus
1926,pour
1927,gagner
1928,plus
1929,cette
1930,proposition
1931,n
1932,a
1933,pas
1934,eu
1935,beaucoup
1936,de
1937,succès
1938,dans
1939,l
1940,hôpital
1941,.
1942,J
1943,ai
1944,rencontré
1945,encore
1946,récemment
1947,les
1948,infirmières
1949,.
1950,En
1951,effet
1952,elles
1953,ne
1954,souhaitent
1955,pas
1956,travailler
1957,plus
1958,parce
1959,qu
1960,elles
1961,travaillent
1962,déjà
1963,dans
1964,des
1965,horaires
1966,et
1967,des
1968,conditions
1969,extrêmement
1970,difficiles
1971,.
1972,Oui
1973,il
1974,va
1975,falloir
1976,créer
1977,des
1978,postes
1979,dans
1980,la
1981,fonction
1982,publique
1983,hospitalière
1984,.
1985,Ces
1986,postes
1987,ont
1988,été
1989,insuffisants
1990,au
1991,moment
1992,des
1993,heures
1994,.
1995,C
1996,est
1997,la
1998,raison
1999,pour
2000,laquelle
2001,nous
2002,ne
2003,pourrons
2004,pas
2005,diminuer
2006,le
2007,nombre
2008,de
2009,fonctionnaires
2010,.
2011,Si
2012,nous
2013,pouvons
2014,en
2015,effet
2016,en
2017,diminuer
2018,au
2019,ministère
2020,des
2021,Finances
2022,notamment
2023,dans
2024,les
2025,services
2026,des
2027,douanes
2028,se
2029,sera
2030,pour
2031,en
2032,créer
2033,là
2034,où
2035,les
2036,besoins
2037,sont
2038,nécessaires
2039,pour
2040,remettre
2041,du
2042,service
2043,public
2044,là
2045,où
2046,il
2047,n
2048,y
2049,en
2050,a
2051,plus
2052,en
2053,milieu
2054,rural
2055,ou
2056,dans
2057,les
2058,quartiers
2059,dans
2060,lesquels
2061,en
2062,effet
2063,le
2064,manque
2065,de
2066,service
2067,public
2068,explique
2069,le
2070,délitement
2071,du
2072,lien
2073,républicain
2074,.
2075,Je
2076,voudrais
2077,revenir
2078,sur
2079,les
2080,autres
2081,éléments
2082,que
2083,vous
2084,avez
2085,évoqués
2086,.
2087,Sur
2088,la
2089,question
2090,de
2091,la
2092,délinquance
2093,sexuelle
2094,qui
2095,vous
2096,en
2097,conviendrez
2098,avec
2099,moi
2100,n
2101,a
2102,rien
2103,de
2104,génétique
2105,je
2106,crois
2107,qu
2108,il
2109,faut
2110,aller
2111,plus
2112,loin
2113,.
2114,Il
2115,faut
2116,aller
2117,plus
2118,loin
2119,.
2120,Je
2121,demande
2122,que
2123,les
2124,pédophiles
2125,en
2126,particulier
2127,ne
2128,soient
2129,pas
2130,relâchés
2131,tant
2132,que
2133,la
2134,commission
2135,spéciale
2136,qui
2137,aurait
2138,dû
2139,être
2140,mise
2141,en
2142,place
2143,dans
2144,les
2145,prisons
2146,n
2147,a
2148,pas
2149,formellement
2150,dit
2151,par
2152,expertise
2153,qu
2154,ils
2155,sont
2156,désormais
2157,non
2158,nocifs
2159,.
2160,Aujourd
2161,hui
2162,il
2163,y
2164,a
2165,des
2166,délinquants
2167,sexuels
2168,qui
2169,sont
2170,relâchés
2171,parce
2172,qu
2173,ils
2174,n
2175,ont
2176,pas
2177,eu
2178,les
2179,soins
2180,en
2181,prison
2182,les
2183,soins
2184,que
2185,la
2186,loi
2187,pourtant
2188,prévoit
2189,.
2190,Donc
2191,je
2192,crois
2193,que
2194,l
2195,urgence
2196,dans
2197,ce
2198,domaine
2199,c
2200,est
2201,que
2202,les
2203,soins
2204,soient
2205,donnés
2206,dans
2207,la
2208,prison
2209,.
2210,C
2211,est
2212,qu
2213,ensuite
2214,ces
2215,délinquants
2216,ne
2217,soient
2218,relâchés
2219,que
2220,lorsque
2221,la
2222,garantie
2223,qu
2224,ils
2225,ne
2226,peuvent
2227,pas
2228,recommencer
2229,est
