position,texte,rien
1058,monsieur,monsieur
1059,sarkozy,sarkozy
1060,vous,vous
1061,aviez,avoir
1062,parlé,parler
1063,de,de
1064,la,le
1065,tolérance,tolérance
1066,zéro,zéro
1067,les,le
1068,français,français
1069,s,s
1070,inquiètent,inquiéter
1071,beaucoup,beaucoup
1072,de,de
1073,la,le
1074,montée,montée
1075,des,du
1076,violences,violence
1077,et,et
1078,des,du
1079,agressivités,agressivité
1080,dans,dans
1081,la,le
1082,société,société
1083,française,français
1084,.,.
1085,Le,le
1086,nombre,nombre
1087,de,de
1088,faits,fait
1089,de,de
1090,violence,violence
1091,à,à
1092,l,l
1093,école,école
1094,a,avoir
1095,augmenté,augmenter
1096,de,de
1097,.,.
1098,Je,je
1099,veux,vouloir
1100,être,être
1101,la,le
1102,présidente,présidente
1103,de,de
1104,la,le
1105,république,république
1106,où,où
1107,l,l
1108,agressivité,agressivité
1109,des,du
1110,violences,violence
1111,recule,reculer
1112,une,un
1113,france,france
1114,qui,qui
1115,va,aller
1116,gagner,gagner
1117,la,le
1118,bataille,bataille
1119,contre,contre
1120,le,le
1121,chômage,chômage
1122,et,et
1123,contre,contre
1124,la,le
1125,vie,vie
1126,chère,cher
1127,qui,qui
1128,va,aller
1129,permettre,permettre
1130,aussi,aussi
1131,que,que
1132,reculent,reculer
1133,les,le
1134,inégalités,inégalité
1135,parce,parce
1136,que,que
1137,toutes,tout
1138,ces,ce
1139,formes,forme
1140,d,d
1141,insécurité,insécurité
1142,au,au
1143,quotidien,quotidien
1144,d,d
1145,insécurité,insécurité
1146,sociale,social
1147,appellent,appeler
1148,de,de
1149,nouvelles,nouveau
1150,règles,règle|règles
1151,du,du
1152,jeu,jeu
1153,appellent,appeler
1154,un,un
1155,nouveau,nouveau
1156,système,système
1157,politique,politique
1158,appellent,appeler
1159,des,du
1160,responsables,responsable
1161,politiques,politique
1162,plus,plus
1163,efficaces,efficace
1164,qu,qu
1165,ils,il
1166,ne,ne
1167,l,l
1168,ont,avoir
1169,été,être
1170,au,au
1171,cours,cour|cours
1172,des,du
1173,cinq,cinq
1174,dernières,dernier
1175,années,année
1176,et,et
1177,même,même
1178,au,au
1179,delà,delà
1180,sans,sans
1181,doute,doute
1182,car,car
1183,je,je
1184,ne,ne
1185,schématise,schématiser
1186,pas,pas
1187,l,l
1188,histoire,histoire
1189,.,.
1190,Mais,mais
1191,il,il
1192,est,être
1193,vrai,vrai
1194,aussi,aussi
1195,que,que
1196,comme,comme
1197,vous,vous
1198,l,l
1199,avez,avoir
1200,dit,dire
1201,la,le
1202,morale,morale
1203,politique,politique
1204,puisque,puisque
1205,vous,vous
1206,venez,venir
1207,d,d
1208,évoquer,évoquer
1209,ce,ce
1210,mot,mot
1211,demande,demander
1212,que,que
1213,les,le
1214,responsables,responsable
1215,politiques,politique
1216,rendent,rendre
1217,des,du
1218,comptes,compte
1219,par,par
1220,rapport,rapport
1221,à,à
1222,ce,ce
1223,qu,qu
1224,ils,il
1225,ont,avoir
1226,fait,faire
1227,.,.
1228,Je,je
1229,sais,savoir
1230,aussi,aussi
1231,que,que
1232,ce,ce
1233,qui,qui
1234,intéressent,intéresser
1235,les,le
1236,français,français
1237,c,c
1238,est,être
1239,le,le
1240,futur,futur
1241,.,.
1242,Malgré,malgré
1243,tout,tout
1244,monsieur,monsieur
1245,nicolas,nicolas
1246,sarkozy,sarkozy
1247,estimez,estimer
1248,vous,vous
1249,que,que
1250,vous,vous
1251,avez,avoir
1252,une,un
1253,part,part
1254,de,de
1255,responsabilité,responsabilité
1256,de,de
1257,la,le
1258,situation,situation
1259,dans,dans
1260,laquelle,lequel
1261,se,se
1262,trouve,trouver
1263,la,le
1264,france,france
1265,aujourd,aujourd
1266,hui,hui
1267,puisqu,puisqu
1268,une,un
1269,question,question
1270,m,m
1271,est,être
1272,posée,poser
1273,la,le
1274,moindre,moindre
1275,des,du
1276,courtoisies,courtoisie
1277,est,être
1278,d,d
1279,y,y
1280,répondre,répondre
1281,.,.
1282,Suis,suivre|être
1283,je,je
1284,responsable,responsable
1285,d,d
1286,une,un
1287,partie,partie
1288,du,du
1289,bilan,bilan
1290,du,du
1291,gouvernement,gouvernement
