position,texte,rien
1121,mort,mort
1122,du,du
1123,jeune,jeune
1124,homme,homme
1125,et,et
1126,du,du
1127,jeune,jeune
1128,marocain,marocain
1129,.,.
1130,Du,du
1131,jeune,jeune
1132,marocain,marocain
1133,oui,oui
1134,.,.
1135,.,.
1136,.,.
1137,Je,je
1138,ne,ne
1139,dis,dire
1140,pas,pas
1141,l,l
1142,interprétation,interprétation
1143,politique,politique
1144,que,que
1145,vous,vous
1146,en,en
1147,avez,avoir
1148,mais,mais
1149,est,être
1150,ce,ce
1151,que,que
1152,cela,cela
1153,pose,poser
1154,un,un
1155,problème,problème
1156,à,à
1157,la,le
1158,démocratie,démocratie
1159,française,français
1160,ce,ce
1161,n,n
1162,est,être
1163,pas,pas
1164,l,l
1165,assassinat,assassinat
1166,d,d
1167,un,un
1168,homme,homme
1169,qui,qui
1170,pose,poser
1171,en,en
1172,soi,soi
1173,un,un
1174,problème,problème
1175,à,à
1176,la,le
1177,démocratie,démocratie
1178,française,français
1179,.,.
1180,Cela,cela
1181,blesse,blesser
1182,nos,notre
1183,consciences,conscience
1184,c,c
1185,est,être
1186,un,un
1187,assassinat,assassinat
1188,contre,contre
1189,lequel,lequel
1190,tout,tout
1191,le,le
1192,monde,monde
1193,doit,devoir
1194,se,se
1195,dresser,dresser
1196,et,et
1197,protester,protester
1198,non,non
1199,seulement,seulement
1200,en,en
1201,raison,raison
1202,de,de
1203,la,le
1204,violence,violence
1205,et,et
1206,de,de
1207,la,le
1208,brutalité,brutalité
1209,bête,bête
1210,de,de
1211,ceux,celui
1212,qui,qui
1213,perpètrent,perpétrer
1214,ce,ce
1215,genre,genre
1216,d,d
1217,assassinat,assassinat
1218,ou,ou
1219,de,de
1220,meurtre,meurtre
1221,mais,mais
1222,aussi,aussi
1223,parce,parce
1224,que,que
1225,cela,cela
1226,se,se
1227,situe,situer
1228,dans,dans
1229,un,un
1230,contexte,contexte
1231,où,où
1232,l,l
1233,on,on
1234,entend,entendre
1235,des,du
1236,discours,discours
1237,des,du
1238,discours,discours
1239,xénophobes,xénophobe
1240,des,du
1241,discours,discours
1242,d,d
1243,hostilité,hostilité
1244,aux,au
1245,étrangers,étranger
1246,et,et
1247,que,que
1248,cela,cela
1249,crée,créer
1250,un,un
1251,sentiment,sentiment
1252,plus,plus
1253,pénible,pénible
1254,encore,encore
1255,.,.
1256,Vous,vous
1257,savez,savoir
1258,que,que
1259,je,je
1260,ne,ne
1261,suis,suivre|être
1262,pas,pas
1263,homme,homme
1264,à,à
1265,créer,créer
1266,des,du
1267,amalgames,amalgame
1268,en,en
1269,politique,politique
1270,trop,trop
1271,aisément,aisément
1272,même,même
1273,quand,quand
1274,on,on
1275,peut,pouvoir
1276,en,en
1277,avoir,avoir
1278,la,le
1279,tentation,tentation
1280,.,.
